model,combo,mean_ppl,std_ppl
gemma3,AAE_AAE,1316.7692175989305,19345.31746086691
gemma3,AAE_SAE,878.9652571481623,8937.561954845545
gemma3,SAE_AAE,6852.975113424039,119833.37288309984
gemma3,SAE_SAE,847.3693467302656,46263.678327557885
phi4,AAE_AAE,1257.4125208432174,51858.58352224061
phi4,AAE_SAE,1155.9587830388805,51842.0325765383
phi4,SAE_AAE,1399.103158969814,25973.36978884217
phi4,SAE_SAE,436.3613053891524,23877.353656227624
mistral31,AAE_AAE,225.1110854049166,1387.9296184231318
mistral31,AAE_SAE,222.3423166253341,658.0503793027599
mistral31,SAE_AAE,631.1757462922783,3321.0625362008363
mistral31,SAE_SAE,109.5129488588078,384.9515360395871
deepseekR1,AAE_AAE,891.5494705573418,9206.161136204057
deepseekR1,AAE_SAE,666.62055703455,5816.65387604368
deepseekR1,SAE_AAE,4237.171266319127,45578.27152795954
deepseekR1,SAE_SAE,527.2770260941669,7684.573537179892
phi3,AAE_AAE,2181.8197986633663,37331.02521129147
phi3,AAE_SAE,2909.8017801118312,84375.51401882914
phi3,SAE_AAE,1649.3028146886122,31067.046086479684
phi3,SAE_SAE,1247.274165459761,25029.644568465334
